task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	dd/0f4f06	3915353	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (43)	CACHED	0	2024-10-19 07:56:57.298	3.6s	3.2s	112.2%	8 MB	15.1 MB	183.1 MB	139.3 MB
88	11/d34f84	3924405	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (66)	CACHED	0	2024-10-19 07:57:14.546	3.7s	3.3s	111.4%	7.6 MB	15.1 MB	183.4 MB	139.5 MB
79	b8/14c6e9	3919701	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (58)	CACHED	0	2024-10-19 07:57:05.796	3.7s	2.9s	124.9%	8 MB	15 MB	183.2 MB	139.4 MB
77	b9/eb24d4	3918904	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (56)	CACHED	0	2024-10-19 07:57:04.485	3.3s	2.8s	130.6%	102.6 MB	107.8 MB	183.3 MB	139.4 MB
65	e6/d7bcaa	3908813	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (44)	CACHED	0	2024-10-19 07:56:44.161	3.2s	2.7s	129.9%	100.2 MB	105.5 MB	183.1 MB	139.3 MB
81	10/4ca28a	3920642	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (60)	CACHED	0	2024-10-19 07:57:07.732	3.5s	3.1s	115.3%	124.6 MB	129.5 MB	183.1 MB	139.3 MB
92	20/394086	3922709	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (70)	CACHED	0	2024-10-19 07:57:11.457	3.1s	2.7s	133.5%	118.8 MB	123.9 MB	183.3 MB	139.4 MB
83	a7/b38c00	3921062	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (62)	CACHED	0	2024-10-19 07:57:08.278	3.2s	2.7s	133.0%	70.8 MB	75.9 MB	183.2 MB	139.4 MB
76	cb/c9cd33	3912174	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (55)	CACHED	0	2024-10-19 07:56:50.738	3.4s	2.7s	128.5%	125 MB	130.3 MB	183.2 MB	139.4 MB
84	77/adbcc1	3921745	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (63)	CACHED	0	2024-10-19 07:57:09.472	3.2s	2.8s	125.8%	7.1 MB	15 MB	183.1 MB	139.3 MB
93	41/34ef35	3924524	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (71)	CACHED	0	2024-10-19 07:57:14.701	3.3s	2.8s	127.3%	67.9 MB	73.1 MB	183.2 MB	139.4 MB
85	0d/bf4f80	3922260	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (64)	CACHED	0	2024-10-19 07:57:10.833	3.1s	2.7s	134.1%	68.9 MB	73.9 MB	183 MB	139.2 MB
86	44/07fb33	3922578	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (65)	CACHED	0	2024-10-19 07:57:11.278	3.4s	3s	120.6%	7.9 MB	15 MB	183.2 MB	139.4 MB
91	0c/a7e089	3923484	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (69)	CACHED	0	2024-10-19 07:57:12.711	3.3s	2.7s	131.9%	11.7 MB	17.1 MB	183.3 MB	139.4 MB
90	4c/592914	3924001	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (68)	CACHED	0	2024-10-19 07:57:13.955	3.2s	2.7s	129.9%	56.9 MB	61.9 MB	183.2 MB	139.4 MB
94	37/69a681	3918001	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (72)	CACHED	0	2024-10-19 07:57:02.389	3.4s	2.8s	127.7%	69 MB	74.1 MB	183.1 MB	139.3 MB
95	d3/35123e	3925746	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (73)	CACHED	0	2024-10-19 07:57:17.158	3.4s	2.8s	129.8%	125.3 MB	130.3 MB	183.4 MB	139.5 MB
89	87/9ecce0	3917903	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (67)	CACHED	0	2024-10-19 07:57:02.186	3.3s	2.7s	132.8%	124.5 MB	129.7 MB	183.1 MB	139.3 MB
87	d5/f76e45	28232	RUN_DNAmDeconv:DNAmDeconv:inHousePrep:MERGE_SAMPLES	CACHED	0	2024-10-19 08:06:50.359	3.2s	2.7s	67.1%	129.7 MB	848.6 MB	77.7 MB	861 KB
96	12/8ad882	3924892	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (74)	CACHED	0	2024-10-19 07:57:15.095	3.1s	2.7s	131.8%	125 MB	130.1 MB	183.2 MB	139.3 MB
108	1e/2ddc17	3930303	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (86)	CACHED	0	2024-10-19 07:57:25.356	3.1s	2.7s	134.3%	124.9 MB	130.1 MB	183.3 MB	139.5 MB
99	f8/b9db77	3928074	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (77)	CACHED	0	2024-10-19 07:57:21.467	3.5s	2.7s	127.7%	124.9 MB	129.9 MB	183.1 MB	139.3 MB
107	26/13accf	3923126	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (85)	CACHED	0	2024-10-19 07:57:11.936	3.2s	2.7s	130.1%	124.8 MB	129.9 MB	183.2 MB	139.4 MB
110	75/9af6d1	3930832	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (88)	CACHED	0	2024-10-19 07:57:26.441	3s	2.7s	134.5%	72.1 MB	77.3 MB	183.1 MB	139.3 MB
98	75/fcd92e	3919621	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (76)	CACHED	0	2024-10-19 07:57:05.520	3.2s	2.7s	130.3%	124.7 MB	129.8 MB	183.2 MB	139.4 MB
111	71/594055	3931349	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (89)	CACHED	0	2024-10-19 07:57:27.755	3.1s	2.7s	131.8%	54.6 MB	59.7 MB	183.2 MB	139.4 MB
97	ae/6dc462	3925255	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (75)	CACHED	0	2024-10-19 07:57:15.996	4s	3.4s	107.2%	7.6 MB	15.1 MB	183.5 MB	139.6 MB
104	92/53c072	3928932	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (82)	CACHED	0	2024-10-19 07:57:23.206	3.2s	2.7s	134.0%	124.6 MB	129.9 MB	183.2 MB	139.4 MB
102	d2/0421ff	3926368	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (80)	CACHED	0	2024-10-19 07:57:18.237	3.2s	2.8s	129.7%	88.2 MB	93.2 MB	183.1 MB	139.3 MB
103	c5/cae195	3928250	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (81)	CACHED	0	2024-10-19 07:57:21.761	3.6s	2.9s	123.0%	6.9 MB	15 MB	183.3 MB	139.5 MB
106	eb/e713d3	3929407	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (84)	CACHED	0	2024-10-19 07:57:24.091	3.7s	3.3s	110.9%	9.2 MB	16.7 MB	183.3 MB	139.4 MB
105	6e/30ea19	3929742	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (83)	CACHED	0	2024-10-19 07:57:24.579	3.2s	2.7s	134.0%	93.6 MB	98.6 MB	183.4 MB	139.6 MB
118	c0/5d60d2	3927647	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (96)	CACHED	0	2024-10-19 07:57:20.574	3.5s	3.1s	117.5%	7.8 MB	15.1 MB	183.2 MB	139.4 MB
117	cf/89a740	3933013	RUN_DNAmDeconv:DNAmDeconv:refFreeDeconv:REFREE_PREPROCESSING (95)	CACHED	0	2024-10-19 07:57:30.863	3.2s	2.9s	126.9%	7.9 MB	15.1 MB	183.1 MB	139.3 MB
