"","sample","healthy","nbl","tool","unknown","reference","DMRtool","direction","top","collapse_approach","min_cpgs","min_counts"
"162","20M_mix_Bmap_CLBGA_0-1_rep47",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"163","20M_mix_Bmap_CLBGA_0-1_rep48",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"164","20M_mix_Bmap_CLBGA_0-1_rep49",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"165","20M_mix_Bmap_CLBGA_0-1_rep5",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"166","20M_mix_Bmap_CLBGA_0-1_rep50",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"167","20M_mix_Bmap_CLBGA_0-1_rep51",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"168","20M_mix_Bmap_CLBGA_0-1_rep52",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"169","20M_mix_Bmap_CLBGA_0-1_rep53",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"170","20M_mix_Bmap_CLBGA_0-1_rep54",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"171","20M_mix_Bmap_CLBGA_0-1_rep55",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"172","20M_mix_Bmap_CLBGA_0-1_rep56",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"173","20M_mix_Bmap_CLBGA_0-1_rep57",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"174","20M_mix_Bmap_CLBGA_0-1_rep58",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"175","20M_mix_Bmap_CLBGA_0-1_rep59",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"176","20M_mix_Bmap_CLBGA_0-1_rep6",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"177","20M_mix_Bmap_CLBGA_0-1_rep60",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"178","20M_mix_Bmap_CLBGA_0-1_rep7",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
"179","20M_mix_Bmap_CLBGA_0-1_rep8",0,1,"CIBERSORT",NA,"reference_11healthy_9nbl","DMRfinder","both",250,"mean",3,10
